$003FFFFF (Offs.10) = 1:  0.02%, 2: 15.60%, 3: 84.37%, 4: NEVER , 5: NEVER , 
$003FFFFF (Offs. 8) = 1:  0.01%, 2:  5.07%, 3: 94.92%, 4: NEVER , 5: NEVER , 
$003FFFFF (Offs. 6) = 1:  0.00%, 2:  1.56%, 3: 98.44%, 4: NEVER , 5: NEVER , 

$007FFFFF (    MOV) = 1:  0.02%, 2:  5.94%, 3: 94.04%, 4: NEVER , 5: NEVER , 
$007FFFFF (logical) = 1:  0.02%, 2:  5.94%, 3: 94.04%, 4: NEVER , 5: NEVER , 
$007FFFFF (ADD/SUB) = 1:  0.02%, 2:  5.94%, 3: 94.04%, 4: NEVER , 5: NEVER , 
$007FFFFF (Offs.12) = 1:  0.05%, 2: 24.95%, 3: 75.00%, 4: NEVER , 5: NEVER , 
$007FFFFF (Offs.10) = 1:  0.01%, 2:  8.58%, 3: 91.41%, 4: NEVER , 5: NEVER , 
$007FFFFF (Offs. 8) = 1:  0.00%, 2:  2.73%, 3: 97.27%, 4: NEVER , 5: NEVER , 
$007FFFFF (Offs. 6) = 1:  0.00%, 2:  0.83%, 3: 71.09%, 4: 28.08%, 5: NEVER , 

$00FFFFFF (    MOV) = 1:  0.01%, 2:  3.76%, 3: 96.23%, 4: NEVER , 5: NEVER , 
$00FFFFFF (logical) = 1:  0.01%, 2:  3.75%, 3: 96.24%, 4: NEVER , 5: NEVER , 
$00FFFFFF (ADD/SUB) = 1:  0.01%, 2:  3.76%, 3: 96.23%, 4: NEVER , 5: NEVER , 
$00FFFFFF (Offs.12) = 1:  0.02%, 2: 15.63%, 3: 84.35%, 4: NEVER , 5: NEVER , 
$00FFFFFF (Offs.10) = 1:  0.01%, 2:  5.08%, 3: 94.92%, 4: NEVER , 5: NEVER , 
$00FFFFFF (Offs. 8) = 1:  0.00%, 2:  1.56%, 3: 98.44%, 4: NEVER , 5: NEVER , 
$00FFFFFF (Offs. 6) = 1:  0.00%, 2:  0.46%, 3: 57.68%, 4: 41.85%, 5: NEVER , 

$01FFFFFF (    MOV) = 1:  0.01%, 2:  2.12%, 3: 78.54%, 4: 19.34%, 5: NEVER , 
$01FFFFFF (logical) = 1:  0.01%, 2:  2.11%, 3: 76.79%, 4: 21.09%, 5: NEVER , 
$01FFFFFF (ADD/SUB) = 1:  0.01%, 2:  2.11%, 3: 78.09%, 4: 19.79%, 5: NEVER , 
$01FFFFFF (Offs.12) = 1:  0.01%, 2:  8.61%, 3: 91.38%, 4: NEVER , 5: NEVER , 
$01FFFFFF (Offs.10) = 1:  0.00%, 2:  2.74%, 3: 97.26%, 4: NEVER , 5: NEVER , 
$01FFFFFF (Offs. 8) = 1:  0.00%, 2:  0.83%, 3: 71.62%, 4: 27.55%, 5: NEVER , 
$01FFFFFF (Offs. 6) = 1:  0.00%, 2:  0.24%, 3: 36.86%, 4: 62.89%, 5: NEVER , 

